date,stock_code,direction,score,events,industries,confidence,reasons
2026-06-02,2603.TW,SELL,-6.0,戰爭升溫 | 油價上升,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-06-02,2609.TW,SELL,-6.0,戰爭升溫 | 油價上升,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-06-02,2615.TW,SELL,-6.0,戰爭升溫 | 油價上升,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-06-02,2618.TW,SELL,-6.0,戰爭升溫 | 油價上升,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-06-02,6505.TW,BUY,5.09,戰爭升溫 | 油價上升 | 通膨下降,油電燃氣,0.9,"戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時） / 油價上升 → 油電燃氣（高強度利多, 信心100%, 即時） / 通膨下降 → 油電燃氣（中強度利空, 信心70%, 中期）"
2026-06-02,8917.TW,BUY,5.09,戰爭升溫 | 油價上升 | 通膨下降,油電燃氣,0.9,"戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時） / 油價上升 → 油電燃氣（高強度利多, 信心100%, 即時） / 通膨下降 → 油電燃氣（中強度利空, 信心70%, 中期）"
2026-06-02,2344.TW,BUY,4.85,AI熱潮 | 關稅/貿易戰 | 記憶體漲價 | 景氣轉弱 | 美元升值 | 通膨下降,半導體 | 記憶體,0.9,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 記憶體漲價 → 記憶體（高強度利多, 信心100%, 短期） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 美元升值 → 半導體（中強度利多, 信心70%, 短期） / 通膨下降 → 半導體（高強度利多, 信心70%, 中期）"
2026-06-02,2382.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-06-02,2356.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-06-02,2308.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-06-02,3017.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-06-02,6669.TWO,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-06-02,2901.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-06-02,9941.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-06-02,3576.TWO,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-06-02,6443.TW,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-06-02,3691.TW,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-06-02,2408.TW,BUY,2.55,記憶體漲價,記憶體,1.0,"記憶體漲價 → 記憶體（高強度利多, 信心100%, 短期）"
2026-06-02,3260.TW,BUY,2.55,記憶體漲價,記憶體,1.0,"記憶體漲價 → 記憶體（高強度利多, 信心100%, 短期）"
2026-06-02,2330.TW,BUY,2.3,AI熱潮 | 關稅/貿易戰 | 景氣轉弱 | 美元升值 | 通膨下降,半導體,0.88,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 美元升值 → 半導體（中強度利多, 信心70%, 短期） / 通膨下降 → 半導體（高強度利多, 信心70%, 中期）"
2026-06-02,2454.TW,BUY,2.3,AI熱潮 | 關稅/貿易戰 | 景氣轉弱 | 美元升值 | 通膨下降,半導體,0.88,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 美元升值 → 半導體（中強度利多, 信心70%, 短期） / 通膨下降 → 半導體（高強度利多, 信心70%, 中期）"
2026-06-02,2303.TW,BUY,2.3,AI熱潮 | 關稅/貿易戰 | 景氣轉弱 | 美元升值 | 通膨下降,半導體,0.88,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 美元升值 → 半導體（中強度利多, 信心70%, 短期） / 通膨下降 → 半導體（高強度利多, 信心70%, 中期）"
2026-06-02,3711.TW,BUY,2.3,AI熱潮 | 關稅/貿易戰 | 景氣轉弱 | 美元升值 | 通膨下降,半導體,0.88,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 美元升值 → 半導體（中強度利多, 信心70%, 短期） / 通膨下降 → 半導體（高強度利多, 信心70%, 中期）"
2026-06-02,2880.TW,BUY,2.0,戰爭升溫,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時）"
2026-06-02,2881.TW,BUY,2.0,戰爭升溫,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時）"
2026-06-02,2882.TW,BUY,2.0,戰爭升溫,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時）"
2026-06-02,2884.TW,BUY,2.0,戰爭升溫,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時）"
2026-06-02,2886.TW,BUY,2.0,戰爭升溫,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時）"
2026-06-02,2002.TW,NEUTRAL,-1.19,美元升值,鋼鐵,0.7,"美元升值 → 鋼鐵（中強度利空, 信心70%, 短期）"
2026-06-02,2006.TW,NEUTRAL,-1.19,美元升值,鋼鐵,0.7,"美元升值 → 鋼鐵（中強度利空, 信心70%, 短期）"
2026-06-02,2007.TW,NEUTRAL,-1.19,美元升值,鋼鐵,0.7,"美元升值 → 鋼鐵（中強度利空, 信心70%, 短期）"
