date,stock_code,direction,score,events,industries,confidence,reasons
2026-07-17,6505.TW,BUY,7.79,油價上升 | 戰爭升溫 | 通膨上升,油電燃氣,0.9,"油價上升 → 油電燃氣（高強度利多, 信心100%, 即時） / 戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時） / 通膨上升 → 油電燃氣（高強度利多, 信心70%, 短期）"
2026-07-17,8917.TW,BUY,7.79,油價上升 | 戰爭升溫 | 通膨上升,油電燃氣,0.9,"油價上升 → 油電燃氣（高強度利多, 信心100%, 即時） / 戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時） / 通膨上升 → 油電燃氣（高強度利多, 信心70%, 短期）"
2026-07-17,2603.TW,SELL,-6.0,油價上升 | 戰爭升溫,交通運輸及航運,1.0,"油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-17,2609.TW,SELL,-6.0,油價上升 | 戰爭升溫,交通運輸及航運,1.0,"油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-17,2615.TW,SELL,-6.0,油價上升 | 戰爭升溫,交通運輸及航運,1.0,"油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-17,2618.TW,SELL,-6.0,油價上升 | 戰爭升溫,交通運輸及航運,1.0,"油價上升 → 交通運輸及航運（高強度利空, 信心100%, 即時） / 戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-17,2317.TW,SELL,-3.48,景氣轉弱 | 關稅/貿易戰 | 記憶體漲價 | 通膨上升,電子零組件,0.93,"景氣轉弱 → 電子零組件（高強度利空, 信心100%, 中期） / 關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 記憶體漲價 → 電子零組件（中強度利空, 信心100%, 短期） / 通膨上升 → 電子零組件（高強度利空, 信心70%, 短期）"
2026-07-17,2327.TW,SELL,-3.48,景氣轉弱 | 關稅/貿易戰 | 記憶體漲價 | 通膨上升,電子零組件,0.93,"景氣轉弱 → 電子零組件（高強度利空, 信心100%, 中期） / 關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 記憶體漲價 → 電子零組件（中強度利空, 信心100%, 短期） / 通膨上升 → 電子零組件（高強度利空, 信心70%, 短期）"
2026-07-17,3037.TW,SELL,-3.48,景氣轉弱 | 關稅/貿易戰 | 記憶體漲價 | 通膨上升,電子零組件,0.93,"景氣轉弱 → 電子零組件（高強度利空, 信心100%, 中期） / 關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 記憶體漲價 → 電子零組件（中強度利空, 信心100%, 短期） / 通膨上升 → 電子零組件（高強度利空, 信心70%, 短期）"
2026-07-17,2880.TW,BUY,3.4,戰爭升溫 | 升息,金融,0.85,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心70%, 即時）"
2026-07-17,2881.TW,BUY,3.4,戰爭升溫 | 升息,金融,0.85,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心70%, 即時）"
2026-07-17,2882.TW,BUY,3.4,戰爭升溫 | 升息,金融,0.85,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心70%, 即時）"
2026-07-17,2884.TW,BUY,3.4,戰爭升溫 | 升息,金融,0.85,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心70%, 即時）"
2026-07-17,2886.TW,BUY,3.4,戰爭升溫 | 升息,金融,0.85,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心70%, 即時）"
2026-07-17,2382.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-17,2356.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-17,2308.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-17,3017.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-17,6669.TWO,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-17,2901.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-07-17,9941.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-07-17,2408.TW,BUY,2.55,記憶體漲價,記憶體,1.0,"記憶體漲價 → 記憶體（高強度利多, 信心100%, 短期）"
2026-07-17,3260.TW,BUY,2.55,記憶體漲價,記憶體,1.0,"記憶體漲價 → 記憶體（高強度利多, 信心100%, 短期）"
2026-07-17,3576.TWO,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-07-17,6443.TW,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-07-17,3691.TW,BUY,2.55,政策補助,綠能,1.0,"政策補助 → 綠能（高強度利多, 信心100%, 短期）"
2026-07-17,2515.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
2026-07-17,5534.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
2026-07-17,2504.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
